Index of Economic Freedom -- Explore the Data,,,,,,,,,,,,,,
Source: The Heritage Foundation,,,,,,,,,,,,,,
http://www.heritage.org/index,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Oman,2025,65.4,74.5,42.3,25.5,97.6,70.8,63.2,68.1,52.2,82.5,78.2,70,60
Pakistan,2025,49.1,29.2,28.4,28.9,78.3,88.9,8.1,51.5,51.8,54.5,69.8,60,40
Panama,2025,65.5,56,37,49.4,86.9,85.2,62.4,73.4,60.7,76.4,78.6,60,60
Papua New Guinea,2025,52.5,44.7,28.5,44.2,72.1,85.5,46.7,35.5,64.6,73.6,79.8,25,30
Paraguay,2025,65.2,45,27.7,37.3,97,87.1,79.3,73.2,48.2,74.6,78.2,75,60
Peru,2025,65.9,44.9,34,47.3,79.4,83.9,89.8,70.6,65.1,73.9,81.6,60,60
Poland,2025,67.1,72.3,58.4,52.3,73.8,39.7,75.9,77.8,56.8,68.5,79.6,80,70
Portugal,2025,70.5,90.1,63.9,91.3,59.8,40.2,79.7,79.6,57.1,75.1,79.6,70,60
Qatar,2025,70.2,71.1,52.6,42.3,99.9,78.1,96.2,67.9,59.3,73.2,81.6,60,60
Republic of Congo,2025,48.6,30.8,13.2,14.9,75.5,86.2,80.4,36.9,52.5,77.7,49.6,35,30
Romania,2025,66.5,81.7,49.1,67,93.7,59.1,36.1,75.1,67.8,69.2,79.6,70,50
Russia,2025,51.6,18.6,23,28.4,87.7,62,97.8,51.3,59,62.2,69.4,30,30
Rwanda,2025,54.8,62,50.5,27.1,81.3,73.8,35,56.8,48.7,67.3,55.2,60,40
Saint Lucia,2025,67,69.5,59,74.6,78.6,82.5,74.3,73.8,64.9,76.6,60,50,40
Saint Vincent and the Grenadines,2025,60.1,69,61.7,77.8,74.9,58.9,4.8,69.4,59.7,76.5,59,70,40
Samoa,2025,66.6,76.1,60.3,77.7,79,67.3,97.8,63.5,76.2,64.6,67.2,40,30
São Tomé and Príncipe,2025,60.4,53,47.7,60.6,88.6,81.5,93.6,52.8,45.2,57.2,65,50,30
Saudi Arabia,2025,64.4,51,48.1,38.1,99.3,71.6,98.1,70.6,43.1,80.1,72.8,50,50
Senegal,2025,56.4,57.2,45.2,50.3,69.4,79.7,30.5,54.3,54.3,68.8,67.2,60,40
Serbia,2025,64.4,58.9,37.2,50.8,87.3,40.2,91.2,74.7,66.6,68.5,77.2,70,50
Seychelles,2025,66.4,74,75,63.7,79.7,64.6,83.2,78.8,56.5,75.6,85.2,30,30
Sierra Leone,2025,48,33.8,36,41.5,87.8,89,53.8,37,23.7,50.2,63.6,40,20
Singapore,2025,84.1,94.3,86.4,58.3,89.9,92.9,73.9,90.6,77.1,81,95,90,80
Slovakia,2025,68.4,84.3,57.2,69.9,76.7,38.7,69.8,77,58,64.5,79.6,75,70
Slovenia,2025,68.3,88.4,64.4,91.8,56.6,30.9,72.2,78.5,64.5,72.9,79.6,70,50
Solomon Islands,2025,56.3,48.2,42,61.9,70.6,70.2,95.3,50.1,60.5,76.2,55.4,15,30
Somalia,2025,N/A,0,8.2,1.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2025,57.3,44.3,45.1,57.7,67.9,68.6,45.8,64,71,74.5,68.4,40,40
South Korea,2025,74,89.4,68.8,77.3,59.6,81.8,93.8,90,56.4,77.6,73.2,60,60
Spain,2025,66.3,87.2,64.7,74,57.7,33.5,40.8,83.6,63.1,76.5,84.6,70,60
Sri Lanka,2025,49.4,51.3,37.4,47.4,77.5,88.8,0,55.8,54.6,54.5,65,30,30
Sudan,2025,35.3,12,15.6,4,84.7,95.7,73.5,28.5,39.2,16.3,29.6,5,20
Suriname,2025,50.9,42.1,39.7,43.1,69.1,74,66.1,57.6,69,44.1,65.4,20,20
Sweden,2025,77.9,96.5,92.3,95.6,51.6,31.5,97.3,84.6,66.1,74.3,79.6,85,80
Switzerland,2025,83.7,94.5,92.3,99.3,70.9,68,97.6,88.8,60.5,80.7,86.6,85,80
Syria,2025,N/A,2.6,3.3,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taiwan,2025,79.7,83,73.3,94.4,79,90.1,91.3,79.6,69,79.9,86.6,70,60
Tajikistan,2025,51.5,28.8,15.7,11.2,92.3,75,97.3,56.2,43.6,71,72.2,25,30
Tanzania,2025,59.3,46.7,39.8,30.4,80.4,89.4,74.3,48.9,62.1,72.5,61.8,55,50
Thailand,2025,60.6,45.1,38.4,34.6,81.3,81.7,61.3,70.9,56.4,70.2,72.4,55,60
The Bahamas,2025,63.2,61.8,66.2,78.6,97.2,77.2,6.7,70,68.8,72.9,49,50,60
The Gambia,2025,56.8,55,39.5,45.2,79.3,84.8,56.9,50.6,48,55.7,66.8,50,50
The Philippines,2025,60.6,47.4,35.3,42.5,79.1,79.9,47.7,69.1,57.7,69.8,79.2,60,60
Timor-Leste,2025,47.9,41.5,44.1,36.2,97.3,0,19.8,65.6,57.2,67.5,80,45,20
Togo,2025,52.3,37,31.6,37.1,70.5,81.6,21.7,59.9,51.9,69.8,66.8,60,40
Tonga,2025,58.5,67.9,45.8,65.7,84.9,28.9,96.3,59.5,56.6,61,75.4,40,20
Trinidad and Tobago,2025,63.6,58.3,44.7,58.5,79.5,74.5,80.9,72.6,60.4,76.3,67.6,50,40
Tunisia,2025,49.1,59.3,41.3,39.7,79.4,63.1,6.4,56.8,56,71.3,56.2,30,30
Türkiye,2025,56.1,40.6,34.3,23.8,72.2,71.9,82.3,58.5,48.4,37.9,72.8,70,60
Turkmenistan,2025,47.1,17.7,7.3,8.2,94.2,96.7,100,37.4,33.9,75.1,74.2,10,10
Uganda,2025,51.3,47.4,24.1,29.2,73.6,87.7,35.5,50.3,54.8,75.1,57.4,40,40
Ukraine,2025,N/A,21.5,35.4,29.9,N/A,N/A,N/A,N/A,N/A,N/A,73.2,N/A,N/A
United Arab Emirates,2025,71.6,65.4,65.9,35.2,96.9,82.3,97.9,84.2,62.1,80.5,78.4,50,60
United Kingdom,2025,69.3,95.2,83.4,84.8,61,40.1,19,83.4,63.2,67.9,83.4,70,80
United States,2025,70.2,95.4,77.3,76.6,75.6,55.8,0,88.5,77,70.7,75.6,70,80
Uruguay,2025,70.2,86,77.5,81.8,77.3,72.3,79.6,84,61.8,68.5,73,50,30
Uzbekistan,2025,58,33.5,31.2,14.5,92.8,73.6,73.3,64.4,47.9,64.6,80.6,60,60
Vanuatu,2025,61.8,61.4,48.1,71.3,97.6,43.1,85.4,55.5,48.8,65.7,59.4,65,40
Venezuela,2025,27.6,0.7,6.7,4.1,75.9,93.8,29.1,32.5,35.9,0,42.2,0,10
Vietnam,2025,65.2,49.9,39.1,35,81.8,88.8,95.8,73.9,54.5,73.9,79.8,60,50
Yemen,2025,N/A,5.1,6.1,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zambia,2025,50.9,45.8,36.7,45.3,74.7,75,0,45.9,48.7,68.2,65.8,55,50
Zimbabwe,2025,35.1,20.7,20.7,15.8,73.6,87.6,44.4,39.3,33.2,0,50.4,25,10
